Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
1-Dec-25	278.99		-2.47	-0.88%	281.78	278.13	282.99	"1,701,227"		
28-Nov-25	281.46		0.59	0.21%	280.89	280.66	283.06	"884,477"		
26-Nov-25	280.87		3.89	1.40%	278.01	277.14	281.97	"1,439,729"		
25-Nov-25	276.98		1.3	0.47%	273.01	273.01	277.64	"1,514,527"		
24-Nov-25	275.68		2.59	0.95%	273.39	271.04	276.13	"3,560,896"		
21-Nov-25	273.09		-2.13	-0.77%	277.02	272.06	277.52	"2,248,487"		
20-Nov-25	275.22		2.72	1.00%	272.31	271.16	276.19	"2,038,156"		
19-Nov-25	272.49		-6.79	-2.43%	277.92	269.47	279.95	"3,543,238"		
18-Nov-25	279.28		0.15	0.05%	278.55	277.07	282.34	"1,749,722"		
17-Nov-25	279.13		-5.91	-2.07%	285.48	278.1	286.33	"2,199,605"		
14-Nov-25	285.04		1.5	0.53%	285	281.44	285.85	"3,339,678"		
13-Nov-25	283.54		3.96	1.42%	281.55	280.65	287.74	"2,777,725"		
12-Nov-25	279.58		0.74	0.27%	278.17	278.17	281.42	"1,100,162"		
11-Nov-25	278.84		1.56	0.56%	279.25	276.54	280.2	"1,235,718"		
10-Nov-25	277.28		0.78	0.28%	274.7	270.62	277.5	"1,429,059"		
7-Nov-25	276.5		5.08	1.87%	273.87	272.01	279.02	"2,158,757"		
6-Nov-25	271.42		3.42	1.28%	267.44	266.07	272.2	"1,847,436"		
5-Nov-25	268		0.15	0.06%	266.59	266.52	271.1	"2,379,829"		
4-Nov-25	267.85		3.69	1.40%	267.34	264.16	268.48	"1,539,228"		
3-Nov-25	264.16		-1.33	-0.50%	265.4	261.42	266	"1,471,847"		
31-Oct-25	265.49		2.6	0.99%	262.89	262.29	266.49	"1,644,506"		
30-Oct-25	262.89		1.36	0.52%	263.92	262.35	265.85	"1,568,721"		
29-Oct-25	261.53		-4.8	-1.80%	264.89	257.17	264.89	"2,926,233"		
28-Oct-25	266.33		-4.76	-1.76%	271.52	265.95	273.39	"1,860,345"		
27-Oct-25	271.09		1.55	0.58%	269	267.8	272.1	"1,541,058"		
24-Oct-25	269.54		0.64	0.24%	267.77	267.37	270.4	"1,273,732"		
23-Oct-25	268.9		1.09	0.41%	272.79	268.43	272.79	"1,578,568"		
22-Oct-25	267.81		-0.8	-0.30%	263.68	262.34	273.34	"2,070,083"		
21-Oct-25	268.61		0.99	0.37%	268.75	267.22	269.86	"1,779,922"		
20-Oct-25	267.62		-0.31	-0.12%	267.5	264.78	268.27	"1,556,756"		
17-Oct-25	267.94		5.43	2.07%	263.5	262.06	268.64	"1,881,247"		
16-Oct-25	262.51		-5.64	-2.10%	268.91	261.8	269.55	"1,419,147"		
15-Oct-25	268.15		0.97	0.36%	266.69	265.1	270.73	"1,758,394"		
14-Oct-25	267.18		-4.1	-1.51%	273.54	266.53	275.37	"1,870,366"		
13-Oct-25	271.28		-0.17	-0.06%	268.29	267.67	271.82	"1,687,783"		
10-Oct-25	271.45		2.61	0.97%	268.68	266.39	274	"2,146,053"		
9-Oct-25	268.84		3.9	1.47%	266.18	263.46	268.89	"2,041,140"		
8-Oct-25	264.94		1.34	0.51%	263.58	258.25	267.23	"2,347,543"		
7-Oct-25	263.6		1.55	0.59%	263.96	261.45	264.75	"1,628,707"		
6-Oct-25	262.05		-2.62	-0.99%	264.12	258.19	264.22	"2,190,572"		
3-Oct-25	264.67		-0.76	-0.29%	265.43	264.46	266.41	"1,715,136"		
2-Oct-25	265.43		-0.41	-0.15%	264.54	262.26	266.03	"1,646,328"		
1-Oct-25	265.84		-4.35	-1.61%	270.19	264.1	270.53	"2,308,905"		
30-Sep-25	270.19		-2.05	-0.75%	272.84	269.5	274.17	"2,893,744"		
29-Sep-25	272.24		1.96	0.73%	271.27	269.63	272.4	"1,397,539"		
26-Sep-25	270.28		1.55	0.58%	270.81	268.37	271.35	"1,535,145"		
25-Sep-25	268.73		4.3	1.63%	265.61	264.74	271.22	"2,367,103"		
24-Sep-25	264.43		2.47	0.94%	262.16	260.78	264.83	"1,405,244"		
23-Sep-25	261.96		0.88	0.34%	261.1	259.31	262.62	"1,098,835"		
22-Sep-25	261.08		-0.45	-0.17%	260.75	259.17	263.85	"1,143,280"		
19-Sep-25	261.53		0.94	0.36%	261.64	259.36	263.33	"3,143,886"		
18-Sep-25	260.59		-1.81	-0.69%	262	259.32	263.09	"1,890,265"		
17-Sep-25	262.4		2.57	0.99%	260.95	260.35	263.03	"1,554,029"		
16-Sep-25	259.83		1	0.39%	258.44	257.88	262.42	"1,992,690"		
15-Sep-25	258.83		-3.47	-1.32%	262.23	258.31	264.43	"1,820,572"		
12-Sep-25	262.3		-0.08	-0.03%	261.89	260.31	263.62	"1,565,494"		
11-Sep-25	262.38		2.47	0.95%	260.74	259.57	262.64	"1,955,418"		
10-Sep-25	259.91		-1.62	-0.62%	261	258.79	261.36	"1,722,289"		
9-Sep-25	261.53		-1.05	-0.40%	260.97	260.46	263.2	"1,969,176"		
8-Sep-25	262.58		0.64	0.24%	261.61	258.51	262.67	"1,973,612"		
5-Sep-25	261.94		-5.49	-2.05%	265.71	260.58	266.04	"1,633,878"		
4-Sep-25	267.43		-1.92	-0.71%	269.58	266.95	271.6	"1,891,518"		
3-Sep-25	269.35		3.95	1.49%	265.4	264.15	269.77	"2,386,544"		
2-Sep-25	265.4		-1.11	-0.42%	266.88	262.55	268.06	"2,847,387"		
