Dates	Close
Sep-30-2021	23.14
Oct-01-2021	21.15
Oct-04-2021	22.96
Oct-05-2021	21.30
Oct-06-2021	21.00
Oct-07-2021	19.54
Oct-08-2021	18.77
Oct-11-2021	20.00
Oct-12-2021	19.85
Oct-13-2021	18.64
Oct-14-2021	16.86
Oct-15-2021	16.30
Oct-18-2021	16.31
Oct-19-2021	15.70
Oct-20-2021	15.49
Oct-21-2021	15.01
Oct-22-2021	15.43
Oct-25-2021	15.24
Oct-26-2021	15.98
Oct-27-2021	16.98
Oct-28-2021	16.53
Oct-29-2021	16.26
Nov-01-2021	16.41
Nov-02-2021	16.03
Nov-03-2021	15.10
Nov-04-2021	15.44
Nov-05-2021	16.48
Nov-08-2021	17.22
Nov-09-2021	17.78
Nov-10-2021	18.73
Nov-11-2021	17.66
Nov-12-2021	16.29
Nov-15-2021	16.49
Nov-16-2021	16.37
Nov-17-2021	17.11
Nov-18-2021	17.59
Nov-19-2021	17.91
Nov-22-2021	19.17
Nov-23-2021	19.38
Nov-24-2021	18.58
Nov-26-2021	28.62
Nov-29-2021	22.96
Nov-30-2021	27.19
Dec-01-2021	31.12
Dec-02-2021	27.95
Dec-03-2021	30.67
Dec-06-2021	27.18
Dec-07-2021	21.89
Dec-08-2021	19.90
Dec-09-2021	21.58
Dec-10-2021	18.69
Dec-13-2021	20.31
Dec-14-2021	21.89
Dec-15-2021	19.29
Dec-16-2021	20.57
Dec-17-2021	21.57
Dec-20-2021	22.87
Dec-21-2021	21.01
Dec-22-2021	18.63
Dec-23-2021	17.96
Dec-27-2021	17.68
Dec-28-2021	17.54
Dec-29-2021	16.95
Dec-30-2021	17.33
Dec-31-2021	17.22
Jan-03-2022	16.60
Jan-04-2022	16.91
Jan-05-2022	19.73
Jan-06-2022	19.61
Jan-07-2022	18.76
Jan-10-2022	19.40
Jan-11-2022	18.41
Jan-12-2022	17.62
Jan-13-2022	20.31
Jan-14-2022	19.19
Jan-18-2022	22.79
Jan-19-2022	23.85
Jan-20-2022	25.59
Jan-21-2022	28.85
Jan-24-2022	29.90
Jan-25-2022	31.16
Jan-26-2022	31.96
Jan-27-2022	30.49
Jan-28-2022	27.66
Jan-31-2022	24.83
Feb-01-2022	21.96
Feb-02-2022	22.09
Feb-03-2022	24.35
Feb-04-2022	23.22
Feb-07-2022	22.86
